date,intervalNumber,use
2017-01-07 19:30:06.430452,38,1
2017-01-07 20:00:02.442669,39,20
2017-01-07 20:30:05.483134,40,21
2017-01-07 21:00:06.737001,41,21
2017-01-07 21:30:03.700450,42,11
2017-01-07 22:00:06.140830,43,1
2017-01-07 22:30:10.106114,44,22
2017-01-07 23:00:08.352226,45,33
2017-01-07 23:30:08.778083,46,44
2017-01-08 00:00:04.593254,47,5
2017-01-08 00:30:06.836328,0,0
2017-01-08 01:00:08.041467,1,0
2017-01-08 01:30:09.590581,2,0
2017-01-08 02:00:11.685266,3,0
2017-01-08 02:30:08.958758,4,0
2017-01-08 03:00:00.000186,5,0
2017-01-08 03:30:05.720554,6,0
2017-01-08 04:00:06.160900,7,0
2017-01-08 04:30:00.275947,8,96
2017-01-08 05:00:12.620531,9,55
2017-01-08 05:30:00.000416,10,90
2017-01-08 06:00:03.440862,11,30
2017-01-08 06:30:06.789175,12,25
2017-01-08 07:00:02.902598,13,14
2017-01-08 07:30:10.136430,14,18
2017-01-08 08:00:10.664854,15,10
2017-01-08 08:30:00.000147,16,0
2017-01-08 09:00:11.150567,17,9
2017-01-08 09:30:00.000130,18,15
2017-01-08 10:00:08.253109,19,0
2017-01-08 10:30:01.801908,20,1
2017-01-08 11:00:04.633773,21,1
2017-01-08 11:30:07.472260,22,0
2017-01-08 12:00:00.544548,23,0
2017-01-08 12:30:05.817908,24,0
2017-01-08 13:00:00.031784,25,31
2017-01-08 13:30:02.371459,26,30
2017-01-08 14:00:08.123693,27,12
2017-01-08 14:30:03.800658,28,11
2017-01-08 15:00:07.798980,29,55
2017-01-08 15:30:00.000060,30,0
2017-01-08 16:00:00.000085,31,2
2017-01-08 16:30:00.000248,32,6
2017-01-08 17:00:00.000159,33,0
2017-01-08 17:30:00.000417,34,9
2017-01-08 18:00:00.000416,35,3
2017-01-08 18:30:00.000423,36,4
2017-01-08 19:00:00.000058,37,6
