date,intervalNumber,use
2017-01-06 00:30:00.000165,0,0
2017-01-06 01:00:00.000421,1,0
2017-01-06 01:30:00.000182,2,0
2017-01-06 02:00:00.000417,3,0
2017-01-06 02:30:00.000080,4,0
2017-01-06 03:00:00.000026,5,0
2017-01-06 03:30:00.000099,6,0
2017-01-06 04:00:00.000027,7,0
2017-01-06 04:30:00.000034,8,0
2017-01-06 05:00:00.000009,9,0
2017-01-06 05:30:00.000413,10,0
2017-01-06 06:00:00.000795,11,0
2017-01-06 06:30:00.000257,12,0
2017-01-06 07:00:00.000015,13,0
2017-01-06 07:30:00.000098,14,3
2017-01-06 08:00:00.000419,15,2
2017-01-06 08:30:00.000221,16,3
2017-01-06 09:00:00.000243,17,5
2017-01-06 09:30:00.000035,18,2
2017-01-06 10:00:00.000415,19,19
2017-01-06 10:30:00.000484,20,19
2017-01-06 11:00:00.000419,21,4
2017-01-06 11:30:00.000215,22,8
2017-01-06 12:00:00.000082,23,4
2017-01-06 12:30:00.000415,24,6
2017-01-06 13:00:00.000229,25,4
2017-01-06 13:30:00.000415,26,13
2017-01-06 14:00:00.000417,27,19
2017-01-06 14:30:00.000428,28,4
2017-01-06 15:00:00.000121,29,11
2017-01-06 15:30:00.000174,30,8
2017-01-06 16:00:00.000418,31,2
2017-01-06 16:30:10.371359,32,5
2017-01-06 17:00:00.000417,33,12
2017-01-06 17:30:00.000122,34,10
2017-01-06 18:00:06.501377,35,8
2017-01-06 18:30:00.000548,36,8
2017-01-06 19:00:00.000009,37,7
2017-01-06 19:30:00.000179,38,9
2017-01-06 20:00:00.000009,39,8
2017-01-06 20:30:00.000420,40,17
2017-01-06 21:00:00.000415,41,2
2017-01-06 21:30:00.000415,42,2
2017-01-06 22:00:00.000158,43,0
2017-01-06 22:30:00.000121,44,2
2017-01-06 23:00:00.000422,45,0
2017-01-06 23:30:00.000086,46,0
2017-01-07 00:00:00.000416,47,1
